start_dt	starter	conflict_msgs	total_msgs	source	start_text
2022-11-27T17:25:08+01:00	zeno	2	10	messages12.html#454876	it was a super cute tiny spoon i fucking loved that spoon
2022-12-07T15:29:32+01:00	kon	2	10	messages15.html#459006	we'll be sleepy as shit
2022-12-07T23:24:21+01:00	zeno	2	10	messages15.html#459364	i had to fucking apologize
2022-12-15T10:59:13+01:00	zeno	2	10	messages18.html#461973	respectfully, what the fuck wow
2022-12-17T12:40:35+01:00	kon	3	15	messages19.html#464080	You aren't lying though
2022-12-26T14:52:28+01:00	kon	2	10	messages22.html#467167	Shit happens inside there
2022-12-31T08:47:33+01:00	zeno	2	9	messages24.html#469307	i said it's a goldfish cant you fucking read
2023-01-17T12:05:11+01:00	zeno	2	8	messages31.html#478497	then when it's a teen he'll be like fuck you mom, I don't need you anymore, I'm a big boy now
2023-01-21T09:46:53+01:00	kon	2	8	messages32.html#479974	Fuck ham
2023-01-22T22:28:31+01:00	zeno	5	17	messages33.html#481134	what i meant was, both 11 years ago, and now with Marti, it felt good, like euphoria, that someone was talking to me assuming i was a boy. 11 years ago, the girl was disappointed, and i felt shame. Now, i am scared that 
2023-01-22T23:11:24+01:00	kon	2	12	messages33.html#481243	and if it gets stolen... Fuck
2023-01-28T19:00:02+01:00	kon	2	11	messages34.html#483098	Tea with lemon and honey is the shit
2023-02-21T16:59:15+01:00	zeno	2	11	messages38.html#488428	have some fucking respect
2023-03-03T09:12:04+01:00	zeno	2	13	messages40.html#490132	they did a shit job
2023-04-04T11:47:54+01:00	zeno	2	10	messages45.html#499115	what the actual fuck
2023-04-23T20:15:33+01:00	kon	2	13	messages48.html#503418	One thing to note is that in some instances, you could use a period to break up long sentences and make them easier to read. For example, in the sentence "Clean and used clothes, stacks of documents, dirty mugs and plate
2023-05-04T20:42:17+01:00	kon	2	13	messages50.html#506978	a proper thent like this is fucking amazing and it's crazy adults don't all have one instead of a normal bed
2023-05-17T11:17:05+01:00	kon	2	10	messages54.html#512281	I'd watch it but I really wanted to get my shit together 😭
2023-06-23T00:24:47+01:00	zeno	2	8	messages62.html#521176	it's ok I'm holding myself together with some duct tape and shit
2023-07-06T23:36:26+01:00	zeno	2	10	messages65.html#524268	fuck that's bad
2023-08-10T18:31:55+01:00	zeno	2	13	messages71.html#531783	i think what he means is they're fucking
2023-08-22T23:34:40+01:00	zeno	4	20	messages76.html#536889	i am not the same asshole i was 10years agp
2023-09-13T15:13:36+01:00	zeno	2	13	messages80.html#542251	and cats meanwhile are some shit like Mr Princess Squishybutt
2023-09-22T15:21:19+01:00	zeno	2	10	messages81.html#544098	it's Derik, it's literally written there are you fucking blind
2023-09-26T09:39:50+01:00	zeno	2	10	messages81.html#544642	fuck yourself, piss yourself, shit yourself, drug yourself
2023-09-27T12:03:08+01:00	kon	2	10	messages82.html#544927	Pin don't think you hurt me pls
2023-10-28T12:07:38+01:00	zeno	2	11	messages85.html#550707	fuck you
2023-12-17T12:52:06+01:00	kon	3	12	messages94.html#560991	My sister is throwing shit
2024-03-10T12:55:04+01:00	kon	2	13	messages104.html#574869	Shit post energy
2024-03-26T20:08:30+01:00	kon	3	12	messages106.html#577018	yes if you send a dumb cat gif
2024-03-28T15:21:41+01:00	zeno	2	12	messages107.html#577894	i turned it off for a sec and it sounded like shit
2024-04-15T17:02:28+01:00	zeno	2	9	messages108.html#580033	ah shit
2024-06-06T22:08:31+01:00	zeno	2	9	messages115.html#589035	you need to absolutely fuck me tomorrow
2024-06-17T22:26:49+01:00	zeno	3	13	messages118.html#592362	and then also fuck you
2024-06-18T22:41:49+01:00	zeno	2	8	messages119.html#592834	i want to be able to greet you home by dramatically lying naked on the couch
2024-06-18T22:52:45+01:00	zeno	2	13	messages119.html#592863	if i use nomo i can't see shit
2024-07-05T20:59:20+01:00	zeno	2	13	messages122.html#597102	omg there's a boy petting the shit out of his puppy
2024-07-07T13:36:30+01:00	zeno	2	13	messages123.html#597444	I'm exhausted and I can't think honestly fuck that
2024-07-14T09:08:21+01:00	zeno	2	9	messages124.html#598742	i might be stupid
2024-07-20T08:39:02+01:00	kon	2	10	messages125.html#599957	I know it's probably dumb, but are you using three correct phone number?
2024-07-20T11:21:12+01:00	kon	2	11	messages125.html#600130	Holy shit
2024-07-23T22:38:03+01:00	kon	2	8	messages126.html#600716	What the fuck 😭
2024-07-28T09:14:24+01:00	kon	2	11	messages126.html#601300	Also, you didn't understand because we never talked about it
2024-07-31T20:23:19+01:00	kon	2	8	messages127.html#601995	Fuck sweet cakes
2024-08-02T14:33:44+01:00	kon	2	11	messages127.html#602624	What the fuck does that mean 😭
2024-08-24T16:18:11+01:00	zeno	2	13	messages131.html#606573	but I'm dreaming of a dumb phone tbh
2024-09-13T19:54:04+01:00	zeno	2	11	messages134.html#610085	the universal instinct to lose your shit when you play in a balls pool
2024-09-19T12:41:10+01:00	zeno	2	12	messages135.html#611304	gaslight him into thinking it's the standard procedure
2024-10-01T20:38:07+01:00	zeno	2	13	messages137.html#613799	for a second i thought you said you wanted to make love to me and my genuine reaction was what the fuck ew
2024-10-11T20:27:27+01:00	zeno	2	9	messages139.html#615431	i just spilled ink on my fucking monitor
2024-10-14T15:36:59+01:00	kon	2	10	messages139.html#615859	I think fuck it and I am staying home longer
2024-10-15T10:07:43+01:00	zeno	2	11	messages140.html#616109	I'm not stupid
2024-10-27T18:24:35+01:00	zeno	2	8	messages141.html#617664	it's just that i felt so incredibly stupid
2024-12-04T20:25:39+01:00	kon	4	19	messages145.html#623009	Fuck trying to sell plates for 2k
2025-02-23T20:24:19+01:00	kon	2	13	messages156.html#636627	This fucking guy
2025-04-06T21:08:21+01:00	kon	2	11	messages157.html#641190	what the fuck blake
2025-04-13T20:15:57+01:00	zeno	2	11	messages158.html#642682	yeah no shit
2025-04-20T12:25:47+01:00	zeno	2	13	messages158.html#643377	when possibol can u tell me if I'm stupid? thanks
2025-06-25T21:48:11+01:00	zeno	2	10	messages166.html#656518	well you never know,!
2025-07-28T23:42:40+01:00	zeno	3	11	messages170.html#662926	FUCK
2025-09-17T22:19:58+01:00	kon	2	8	messages174.html#672520	We are peace otherwise I wouldn’t send such stupid message
2025-09-28T21:07:55+01:00	kon	2	11	messages176.html#674857	but because I am an idiot
2025-11-15T09:50:31+01:00	zeno	2	13	messages180.html#682239	and i felt like you thought i was stupid
2025-11-30T12:03:40+01:00	zeno	2	8	messages182.html#686176	i feel stupid because this is not the first time that during a talk you say there's no attachment and romantice
